,_step,_runtime,train/loss,train/grad_norm,train/learning_rate,train/epoch,_timestamp,train/global_step
0,0,6.972580496,2.4757,0.9717520475387573,0.0,6.28742985586067e-05,1752365517.1994698,1
1,1,9.998310068,1.7586,0.5979200005531311,4e-05,0.0001257485971172134,1752365520.2258234,2
2,2,13.092613664,1.8375,0.5924529433250427,8e-05,0.0001886228956758201,1752365523.32012,3
3,3,16.061670373,1.5614,0.6510016322135925,0.00012,0.0002514971942344268,1752365526.289279,4
4,4,20.086545286,1.1585,0.3231235444545746,0.00016,0.0003143714927930335,1752365530.3140712,5
5,5,24.176724882,1.3675,0.43578824400901794,0.0002,0.0003772457913516402,1752365534.4043434,6
6,6,28.165776329,1.6066,0.4257180392742157,0.00019789473684210526,0.00044012008991024695,1752365538.3934379,7
7,7,31.13585644,1.4575,0.5103814601898193,0.00019578947368421054,0.0005029943884688536,1752365541.3625011,8
8,8,36.020034048,1.6557,0.40405258536338806,0.0001936842105263158,0.0005658686870274604,1752365546.2475111,9
9,9,43.616929924,1.3417,0.3619832396507263,0.00019157894736842104,0.000628742985586067,1752365553.844328,10
10,10,48.540410701,2.432,0.5299883484840393,0.00018947368421052632,0.0006916172841446738,1752365558.7679741,11
11,11,51.359699522,1.5743,0.434203177690506,0.0001873684210526316,0.0007544915827032804,1752365561.5872965,12
12,12,54.692040106,1.1059,0.2668797969818115,0.00018526315789473685,0.0008173658812618872,1752365564.919415,13
13,13,58.002805606,1.2492,0.2987941801548004,0.0001831578947368421,0.0008802401798204939,1752365568.2304268,14
14,14,60.5958407,1.4413,0.3524884879589081,0.00018105263157894739,0.0009431144783791005,1752365570.8186333,15
15,15,63.74571786,1.4997,0.28549161553382874,0.00017894736842105264,0.0010059887769377073,1752365573.9724317,16
16,16,67.402985461,1.9948,0.31375184655189514,0.0001768421052631579,0.001068863075496314,1752365577.6306462,17
17,17,69.234180059,2.0521,0.7369820475578308,0.00017473684210526317,0.0011317373740549208,1752365579.4617016,18
18,18,72.659109241,1.0095,0.24901747703552246,0.00017263157894736842,0.0011946116726135273,1752365582.8866475,19
19,19,76.330421146,1.6594,0.27058178186416626,0.0001705263157894737,0.001257485971172134,1752365586.5578809,20
20,20,79.12503456499999,1.2351,0.2829138934612274,0.00016842105263157895,0.0013203602697307408,1752365589.3522828,21
21,21,82.353927761,1.1168,0.3347832262516022,0.00016631578947368423,0.0013832345682893476,1752365592.5815303,22
22,22,86.205742166,1.2162,0.22956059873104095,0.00016421052631578948,0.0014461088668479543,1752365596.4332197,23
23,23,90.261236199,1.759,0.3046724796295166,0.00016210526315789473,0.0015089831654065608,1752365600.4888637,24
24,24,93.221539283,1.326,0.354905903339386,0.00016,0.0015718574639651676,1752365603.4488978,25
25,25,96.574265842,1.2154,0.3095351457595825,0.00015789473684210527,0.0016347317625237743,1752365606.8014655,26
26,26,99.78932963,2.1984,0.33731287717819214,0.00015578947368421052,0.001697606061082381,1752365610.016791,27
27,27,102.413814407,1.4481,0.3562106788158417,0.0001536842105263158,0.0017604803596409878,1752365612.641299,28
28,28,105.969485377,1.5937,0.2762065529823303,0.00015157894736842108,0.0018233546581995946,1752365616.196339,29
29,29,109.991888414,1.236,0.2120126485824585,0.00014947368421052633,0.001886228956758201,1752365620.2192214,30
30,30,113.143074009,1.4441,0.31021639704704285,0.00014736842105263158,0.0019491032553168078,1752365623.370608,31
31,31,116.716118103,1.4271,0.27703529596328735,0.00014526315789473686,0.0020119775538754146,1752365626.9435835,32
32,32,119.344902119,1.562,0.3387010097503662,0.0001431578947368421,0.0020748518524340213,1752365629.5721693,33
33,33,122.824611087,1.5832,0.28912681341171265,0.00014105263157894736,0.002137726150992628,1752365633.0513299,34
34,34,125.843579341,1.2051,0.2878691554069519,0.00013894736842105264,0.002200600449551235,1752365636.0711067,35
35,35,129.09715551,1.3523,0.2972211241722107,0.0001368421052631579,0.0022634747481098416,1752365639.3247983,36
36,36,131.733862978,1.3339,0.3261043131351471,0.00013473684210526317,0.0023263490466684483,1752365641.9606957,37
37,37,135.638822959,1.3943,0.633409857749939,0.00013263157894736842,0.0023892233452270546,1752365645.8662899,38
38,38,139.126027633,1.2476,0.2602919340133667,0.0001305263157894737,0.0024520976437856614,1752365649.3535,39
39,39,142.750214319,1.1201,0.30473071336746216,0.00012842105263157895,0.002514971942344268,1752365652.9776475,40
40,40,145.4426633,1.2757,0.3348842263221741,0.0001263157894736842,0.002577846240902875,1752365655.6701636,41
